MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Lot Config,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Exter Cond,Foundation,Bsmt Cond,Total Bsmt SF,Heating QC,Central Air,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Type,Garage Finish,Garage Area,Garage Qual,Wood Deck SF,Open Porch SF,SalePrice
20,RL,81.0,14267,IR1,Lvl,Corner,Norm,1Fam,1Story,6,6,1958,1958,Hip,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,1329.0,TA,Y,0,1329,0.0,1,1,3,Gd,6,0,Attchd,Unf,312.0,TA,393,36,172.0
20,RL,93.0,11160,Reg,Lvl,Corner,Norm,1Fam,1Story,7,5,1968,1968,Hip,BrkFace,BrkFace,Gd,TA,CBlock,TA,2110.0,Ex,Y,0,2110,1.0,2,1,3,Ex,8,2,Attchd,Fin,522.0,TA,0,0,244.0
60,RL,74.0,13830,IR1,Lvl,Inside,Norm,1Fam,2Story,5,5,1997,1998,Gable,VinylSd,VinylSd,TA,TA,PConc,TA,928.0,Gd,Y,701,1629,0.0,2,1,3,TA,6,1,Attchd,Fin,482.0,TA,212,34,189.9
60,RL,78.0,9978,IR1,Lvl,Inside,Norm,1Fam,2Story,6,6,1998,1998,Gable,VinylSd,VinylSd,TA,TA,PConc,TA,926.0,Ex,Y,678,1604,0.0,2,1,3,Gd,7,1,Attchd,Fin,470.0,TA,360,36,195.5
120,RL,39.0,5389,IR1,Lvl,Inside,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CemntBd,CmentBd,Gd,TA,PConc,TA,1595.0,Ex,Y,0,1616,1.0,2,0,2,Gd,5,1,Attchd,RFn,608.0,TA,237,152,236.5
60,RL,60.0,7500,Reg,Lvl,Inside,Norm,1Fam,2Story,7,5,1999,1999,Gable,VinylSd,VinylSd,TA,TA,PConc,TA,994.0,Gd,Y,776,1804,0.0,2,1,3,Gd,7,1,Attchd,Fin,442.0,TA,140,60,189.0
60,RL,75.0,10000,IR1,Lvl,Corner,Norm,1Fam,2Story,6,5,1993,1994,Gable,HdBoard,HdBoard,TA,TA,PConc,TA,763.0,Gd,Y,892,1655,0.0,2,1,3,TA,7,1,Attchd,Fin,440.0,TA,157,84,175.9
20,RL,69.22459016393442,7980,IR1,Lvl,Inside,Norm,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,HdBoard,TA,Gd,PConc,TA,1168.0,Ex,Y,0,1187,1.0,2,0,3,TA,6,0,Attchd,Fin,420.0,TA,483,21,185.0
60,RL,63.0,8402,IR1,Lvl,Inside,Norm,1Fam,2Story,6,5,1998,1998,Gable,VinylSd,VinylSd,TA,TA,PConc,TA,789.0,Gd,Y,676,1465,0.0,2,1,3,TA,7,1,Attchd,Fin,393.0,TA,0,75,180.4
20,RL,85.0,10176,Reg,Lvl,Inside,Norm,1Fam,1Story,7,5,1990,1990,Gable,HdBoard,HdBoard,TA,TA,PConc,TA,1300.0,Gd,Y,0,1341,1.0,1,1,2,Gd,5,1,Attchd,Unf,506.0,TA,192,0,171.5
20,RL,88.0,11394,Reg,Lvl,Corner,Norm,1Fam,1Story,9,2,2010,2010,Hip,VinylSd,VinylSd,Gd,TA,PConc,TA,1856.0,Ex,Y,0,1856,1.0,1,1,1,Ex,8,1,Attchd,Fin,834.0,TA,113,0,394.432
20,RL,85.0,13175,Reg,Lvl,Inside,Norm,1Fam,1Story,6,6,1978,1988,Gable,Plywood,Plywood,TA,TA,CBlock,TA,1542.0,TA,Y,0,2073,1.0,2,0,3,TA,7,2,Attchd,Unf,500.0,TA,349,0,210.0
20,RL,105.0,11751,IR1,Lvl,Inside,Norm,1Fam,1Story,6,6,1977,1977,Hip,Plywood,Plywood,TA,TA,CBlock,TA,1844.0,Ex,Y,0,1844,0.0,2,0,3,TA,7,1,Attchd,RFn,546.0,TA,0,122,190.0
85,RL,85.0,10625,Reg,Lvl,Inside,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,Plywood,Plywood,TA,TA,CBlock,TA,1053.0,TA,Y,0,1173,1.0,2,0,3,Gd,6,2,Attchd,RFn,528.0,TA,0,120,170.0
60,FV,69.22459016393442,7500,Reg,Lvl,Inside,Norm,1Fam,2Story,7,5,2000,2000,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,814.0,Ex,Y,860,1674,1.0,2,1,3,Gd,7,0,Attchd,RFn,663.0,TA,0,96,216.0
20,RL,69.22459016393442,11241,IR1,Lvl,CulDSac,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,1004.0,Ex,Y,0,1004,1.0,1,0,2,TA,5,1,Attchd,Fin,480.0,TA,0,0,149.0
20,RL,69.22459016393442,12537,IR1,Lvl,CulDSac,Norm,1Fam,1Story,5,6,1971,2008,Gable,VinylSd,VinylSd,TA,TA,CBlock,TA,1078.0,Ex,Y,0,1078,1.0,1,1,3,TA,6,1,Attchd,Fin,500.0,TA,0,0,149.9
20,RL,70.0,8400,Reg,Lvl,Corner,Norm,1Fam,1Story,4,5,1970,1970,Gable,Plywood,Plywood,TA,TA,CBlock,TA,882.0,TA,Y,0,882,1.0,1,0,2,TA,4,0,Attchd,Fin,525.0,TA,240,0,126.0
20,RL,70.0,10500,Reg,Lvl,FR2,Norm,1Fam,1Story,4,5,1971,1971,Gable,HdBoard,HdBoard,TA,TA,CBlock,TA,864.0,TA,Y,0,864,0.0,1,0,3,TA,5,1,,,0.0,,0,0,115.0
120,RH,26.0,5858,IR1,Lvl,FR2,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,MetalSd,MetalSd,Gd,TA,PConc,TA,1405.0,Ex,Y,0,1337,1.0,2,0,2,Gd,5,1,Attchd,Fin,511.0,TA,203,68,184.0
160,RM,21.0,1680,Reg,Lvl,Inside,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,TA,TA,CBlock,TA,483.0,TA,Y,504,987,0.0,1,1,2,TA,5,0,Detchd,Unf,264.0,TA,275,0,96.0
160,RM,21.0,1680,Reg,Lvl,Inside,Norm,Twnhs,2Story,5,5,1971,1971,Gable,HdBoard,HdBoard,TA,TA,CBlock,TA,525.0,TA,Y,567,1092,0.0,1,1,3,TA,6,0,Detchd,Unf,320.0,TA,0,0,105.5
160,RM,21.0,1680,Reg,Lvl,Inside,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,ImStucc,TA,TA,CBlock,TA,525.0,TA,Y,567,1092,0.0,1,1,3,TA,6,0,Detchd,Unf,264.0,TA,0,0,88.0
160,RL,24.0,2280,Reg,Lvl,FR2,Norm,Twnhs,2Story,6,6,1975,1975,Gable,Plywood,Brk Cmn,TA,TA,CBlock,TA,855.0,TA,Y,601,1456,0.0,2,1,3,Gd,6,1,Attchd,Unf,440.0,TA,173,0,149.9
120,RL,24.0,2280,Reg,Lvl,FR2,Norm,Twnhs,1Story,7,6,1975,1975,Gable,Plywood,Brk Cmn,TA,TA,CBlock,TA,836.0,Ex,Y,0,836,0.0,1,0,2,TA,4,0,Attchd,Unf,308.0,TA,0,30,120.0
160,RL,24.0,2280,Reg,Lvl,Inside,Norm,Twnhs,2Story,6,5,1978,1978,Gable,Plywood,Brk Cmn,TA,TA,CBlock,TA,855.0,Fa,Y,601,1456,0.0,2,1,3,TA,7,1,Attchd,Unf,440.0,TA,26,0,146.0
60,RL,102.0,12858,IR1,Lvl,Inside,Norm,1Fam,2Story,9,5,2009,2010,Gable,VinylSd,VinylSd,Ex,TA,PConc,TA,1590.0,Ex,Y,707,2334,0.0,2,1,3,Ex,10,1,Attchd,Fin,751.0,TA,144,133,376.162
20,RL,98.0,11478,Reg,Lvl,Inside,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1704.0,Ex,Y,0,1704,1.0,2,0,3,Gd,7,1,Attchd,RFn,772.0,TA,0,50,306.0
20,RL,83.0,10159,IR1,Lvl,Inside,Norm,1Fam,1Story,9,5,2009,2010,Hip,VinylSd,VinylSd,Ex,TA,PConc,TA,1930.0,Ex,Y,0,1940,1.0,2,1,3,Ex,8,1,Attchd,Fin,606.0,TA,168,95,395.192
20,RL,94.0,12883,IR1,Lvl,Corner,Norm,1Fam,1Story,8,5,2009,2010,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1544.0,Ex,Y,0,1544,0.0,2,0,3,Gd,7,0,Attchd,RFn,868.0,TA,0,35,290.941
20,RL,95.0,12182,Reg,Lvl,Corner,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1541.0,Ex,Y,0,1541,0.0,2,0,3,Gd,7,1,Attchd,RFn,532.0,TA,0,70,220.0
20,RL,90.0,11520,Reg,Lvl,Inside,PosN,1Fam,1Story,9,5,2005,2005,Hip,VinylSd,VinylSd,Gd,TA,PConc,TA,1698.0,Ex,Y,0,1698,0.0,2,0,3,Ex,7,1,Attchd,Fin,730.0,TA,192,74,275.0
20,RL,79.0,14122,IR1,Lvl,Inside,Norm,1Fam,1Story,8,5,2005,2006,Hip,CemntBd,CmentBd,Gd,TA,PConc,TA,1822.0,Ex,Y,0,1822,0.0,2,0,3,Ex,8,1,Attchd,RFn,678.0,TA,0,119,259.0
20,RL,70.0,10171,IR1,Lvl,Inside,Norm,1Fam,1Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1517.0,Ex,Y,0,1535,0.0,2,0,3,Gd,7,0,Attchd,RFn,532.0,TA,0,0,214.0
120,RL,44.0,6371,IR1,Lvl,Inside,Norm,TwnhsE,1Story,7,5,2009,2010,Gable,VinylSd,VinylSd,Gd,TA,PConc,TA,1358.0,Ex,Y,0,1358,1.0,2,0,2,Gd,6,1,Attchd,RFn,484.0,TA,192,35,224.0
